title,salary,experience,address,url,parsed_at,query
Преподаватель физики в онлайн-школу,"1 000 ₽ за час, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/128721373?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Педагог дополнительного образования,"от 65 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Московский Прокшино,https://hh.ru/vacancy/128876577?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Завуч/заместитель директора по учебной части/методист в частную школу,"от 80 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва Молодежная,https://hh.ru/vacancy/128633978?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор по русскому языку для школьников,"60 000 – 100 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва,https://hh.ru/vacancy/128633598?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Методист по проведению тестовых занятий,"от 15 000 ₽ за месяц, на руки",Опыт 1-3 года,Москва,https://hh.ru/vacancy/129186908?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель по математике/физике в онлайн-школу,"65 900 – 119 608 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/128991668?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Репетитор онлайн (математика/физика/информатика),"40 000 – 160 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/128500820?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
"Воспитатель в ""Rybakov Playschool"" (группа раннего возраста)","от 107 400 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Новомосковский административный округ Новопеределкино,https://hh.ru/vacancy/128697867?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Ассистент педагога (ступень 6-12),"80 000 – 90 000 ₽ за месяц, до вычета налогов",Опыт 1-3 года,Москва Останкино,https://hh.ru/vacancy/128275235?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Тимлидер преподавателей,,Опыт 3-6 лет,Москва,https://hh.ru/vacancy/128279460?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель истории и обществознания,,Опыт более 6 лет,Москва Комсомольская,https://hh.ru/vacancy/128907798?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Учитель начальных классов,"45 000 – 80 000 ₽ за месяц, на руки",Опыт 3-6 лет,"Долгопрудный, Октябрьская улица, 33",https://hh.ru/vacancy/129180481?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Преподаватель в онлайн-школу по Математике,"37 500 – 70 000 ₽ за месяц, до вычета налогов",Без опыта,Москва,https://hh.ru/vacancy/128521727?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Завуч/Координатор академической деятельности,"до 150 000 ₽ за месяц, на руки",Опыт 3-6 лет,Москва Раменки,https://hh.ru/vacancy/128506942?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
Менеджер по работе с клиентами в частную школу (менеджер по продажам),"90 000 – 150 000 ₽ за месяц, на руки",Без опыта,Новомосковский административный округ Мичуринец,https://hh.ru/vacancy/128948423?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C&hhtmFrom=vacancy_search_list,2026-01-08T10:24:31.753239,учитель
